,name,watchtime,budget,weekend_gross_us_canada,weekend_date
308,The Death of Stalin,107.0,13000000.0,184805.0,2018-3-11
309,Bridget Jones's Baby,123.0,35000000.0,8571785.0,2016-9-18
310,It Comes at Night,91.0,5000000.0,5988370.0,2017-6-11
311,Slender Man,93.0,10000000.0,11371866.0,2018-8-12
312,Death Wish,107.0,30000000.0,13010267.0,2018-3-4
313,Miracles from Heaven,109.0,13000000.0,14812393.0,2016-3-20
314,The Hate U Give,133.0,23000000.0,512035.0,2018-10-7
315,Grimsby,83.0,35000000.0,3258327.0,2016-3-13
316,Underworld: Blood Wars,91.0,35000000.0,13688751.0,2017-1-8
317,Night School,111.0,29000000.0,27257615.0,2018-9-30
318,A Ghost Story,92.0,100000.0,104030.0,2017-7-9
319,Color Out of Space,111.0,6000000.0,216162.0,2020-1-26
320,Long Shot,125.0,40000000.0,9740064.0,2019-5-5
321,London Fields,118.0,8000000.0,168575.0,2018-10-28
322,Huisdiergeheimen 2,86.0,80000000.0,46652680.0,2019-6-9
323,Peppermint,101.0,25000000.0,13423255.0,2018-9-9
324,Serenity,106.0,25000000.0,4415403.0,2019-1-27
325,Mike and Dave Need Wedding Dates,98.0,33000000.0,16628170.0,2016-7-10
326,Ouija: Origin of Evil,99.0,9000000.0,14065500.0,2016-10-23
327,The Curse of La Llorona,93.0,9000000.0,26347631.0,2019-4-21
328,I Feel Pretty,110.0,32000000.0,16030218.0,2018-4-22
329,Captive State,109.0,25000000.0,3131525.0,2019-3-17
330,Bad Neighbours 2,92.0,35000000.0,21760405.0,2016-5-22
331,Everybody Wants Some!!,117.0,10000000.0,312355.0,2016-4-3
332,47 Meters Down: Uncaged,90.0,12000000.0,8427265.0,2019-8-18
333,Zoolander 2,101.0,50000000.0,13841146.0,2016-2-14
334,Allegiant,120.0,110000000.0,29027348.0,2016-3-20
335,"Hail, Caesar!",106.0,22000000.0,11355225.0,2016-2-7
336,Trolls,92.0,125000000.0,46581142.0,2016-11-6
337,The Art of Racing in the Rain,109.0,18000000.0,8137584.0,2019-8-11
338,Skyscraper,102.0,125000000.0,24905015.0,2018-7-15
339,Alice Through the Looking Glass,113.0,170000000.0,26858726.0,2016-5-29
340,Hotel Artemis,94.0,15000000.0,3232790.0,2018-6-10
341,The Boss Baby,97.0,125000000.0,50198902.0,2017-4-2
342,Hotel Transylvania 3: A Monster Vacation,97.0,80000000.0,44076225.0,2018-7-15
343,Thoroughbreds,92.0,6000000.0,1224430.0,2018-3-11
344,Pitch Perfect 3,93.0,45000000.0,19928525.0,2017-12-24
345,The Book of Henry,105.0,10000000.0,1424540.0,2017-6-18
346,Patriots Day,133.0,45000000.0,161306.0,2016-12-25
347,Criminal,113.0,31500000.0,5767278.0,2016-4-17
348,The Beach Bum,95.0,5000000.0,1763070.0,2019-3-31
349,Tolkien,112.0,20000000.0,2200537.0,2019-5-12
350,Jackie,100.0,9000000.0,278715.0,2016-12-4
351,Eighth Grade,93.0,2000000.0,263797.0,2018-7-15
352,Ma,99.0,5000000.0,18099805.0,2019-6-2
353,Battle of the Sexes,121.0,25000000.0,518332.0,2017-9-24
354,The Circle,110.0,18000000.0,9034148.0,2017-4-30
355,Miss Sloane,132.0,13000000.0,59797.0,2016-11-27
356,Boy Erased,115.0,11000000.0,207057.0,2018-11-4
357,The Beguiled,93.0,10500000.0,229292.0,2017-6-25
358,Jeepers Creepers 3,100.0,6200000.0,19151.0,2017-10-1
359,Triple 9,115.0,20000000.0,6109085.0,2016-2-28
360,The Girl in the Spider's Web,115.0,43000000.0,7810112.0,2018-11-11
361,Searching,102.0,880000.0,388769.0,2018-8-26
362,Hunter Killer,121.0,40000000.0,6653777.0,2018-10-28
363,The Boss,99.0,29000000.0,23586645.0,2016-4-10
364,The Glass Castle,127.0,9000000.0,4678548.0,2017-8-13
365,Last Christmas,103.0,25000000.0,11441055.0,2019-11-10
366,A Wrinkle in Time,109.0,100000000.0,33123609.0,2018-3-11
367,The Spy Who Dumped Me,117.0,40000000.0,12103043.0,2018-8-5
368,The Infiltrator,127.0,28000000.0,5303775.0,2016-7-17
369,Going in Style,96.0,25000000.0,11932330.0,2017-4-9
370,Shaft,111.0,35000000.0,8901419.0,2019-6-16
371,The Emoji Movie,86.0,50000000.0,24531923.0,2017-7-30
372,Insidious: The Last Key,103.0,10000000.0,29581355.0,2018-1-7
373,The Upside,126.0,37500000.0,20355000.0,2019-1-13
374,The Shack,132.0,20000000.0,16172119.0,2017-3-5
375,Assassination Nation,108.0,7000000.0,1050021.0,2018-9-23
376,Snowden,134.0,40000000.0,8000058.0,2016-9-18
377,All the Money in the World,132.0,50000000.0,5584684.0,2017-12-31
378,Gold,120.0,20000000.0,3471316.0,2017-1-29
379,Tulip Fever,105.0,25000000.0,1158017.0,2017-9-3
380,How to Be Single,110.0,38000000.0,17878911.0,2016-2-14
381,Unsane,98.0,1500000.0,3762145.0,2018-3-25
382,The BFG,117.0,140000000.0,18775350.0,2016-7-3
383,First Reformed,113.0,3500000.0,97562.0,2018-5-20
384,Angry Birds,97.0,73000000.0,38155177.0,2016-5-22
385,The Belko Experiment,89.0,5000000.0,4137230.0,2017-3-19
386,Motherless Brooklyn,144.0,26000000.0,3500454.0,2019-11-3
387,Paterson,118.0,5000000.0,69335.0,2017-1-1
388,De Lego Film 2,107.0,99000000.0,34115335.0,2019-2-10
389,Queen & Slim,132.0,18000000.0,11890490.0,2019-12-1
390,Blair Witch,89.0,5000000.0,9576057.0,2016-9-18
391,Flatliners,109.0,19000000.0,6574326.0,2017-10-1
392,Stuber,93.0,16000000.0,8225384.0,2019-7-14
393,The Hustle,93.0,21000000.0,13007709.0,2019-5-12
394,Ben-Hur,123.0,100000000.0,11203815.0,2016-8-21
395,Rough Night,101.0,20000000.0,8004283.0,2017-6-18
396,The Commuter,104.0,30000000.0,13701452.0,2018-1-14
397,The Finest Hours,117.0,80000000.0,10288932.0,2016-1-31
398,Pet Sematary,101.0,21000000.0,24502775.0,2019-4-7
399,Tully,95.0,13000000.0,3282610.0,2018-5-6
400,Child's Play,90.0,10000000.0,14094594.0,2019-6-23
401,The Best of Enemies,133.0,10000000.0,4446190.0,2019-4-7
402,Happy Death Day 2U,100.0,9000000.0,9497665.0,2019-2-17
403,The Last Full Measure,116.0,20000000.0,1058019.0,2020-1-26
404,The Promise,133.0,90000000.0,4095718.0,2017-4-23
405,Christopher Robin,104.0,75000000.0,24585139.0,2018-8-5
406,Ice Age: Collision Course,94.0,105000000.0,21373064.0,2016-7-24
407,Collateral Beauty,97.0,36000000.0,7102085.0,2016-12-18
408,Alpha,96.0,51000000.0,10352512.0,2018-8-19
409,The Darkest Minds,104.0,34000000.0,5842609.0,2018-8-5
410,Live by Night,129.0,108000000.0,33336.0,2016-12-25
411,The Kid Who Would Be King,120.0,59000000.0,7173887.0,2019-1-27
412,Ophelia,114.0,12000000.0,22145.0,2019-6-30
413,The Purge: Election Year,108.0,10000000.0,31515110.0,2016-7-3
414,Popstar: Never Stop Never Stopping,87.0,20000000.0,4698715.0,2016-6-5
415,The Possession of Hannah Grace,86.0,7700000.0,6401744.0,2018-12-2
416,The Good Liar,109.0,10000000.0,5605051.0,2019-11-17
417,White Boy Rick,111.0,29000000.0,8860431.0,2018-9-16
418,A Dog's Purpose,100.0,22000000.0,18222810.0,2017-1-29
419,Holmes & Watson,90.0,42000000.0,7411522.0,2018-12-30
420,The Angry Birds Movie 2,97.0,65000000.0,10354073.0,2019-8-18
421,Keeping Up with the Joneses,105.0,40000000.0,5461475.0,2016-10-23
422,The Strangers: Prey at Night,85.0,5000000.0,10402271.0,2018-3-11
423,Peter en de Draak,102.0,65000000.0,21514095.0,2016-8-14
424,Operation Finale,122.0,24000000.0,6022758.0,2018-9-2
425,The House,88.0,40000000.0,8724795.0,2017-7-2
426,Midnight Sun,91.0,2800000.0,4003993.0,2018-3-25
427,Home Again,97.0,12000000.0,8567881.0,2017-9-10
428,If Beale Street Could Talk,119.0,12000000.0,224476.0,2018-12-16
429,Book Club,104.0,10000000.0,13582231.0,2018-5-20
430,When the Bough Breaks,107.0,10000000.0,14202323.0,2016-9-11
431,Billy Lynn's Long Halftime Walk,113.0,40000000.0,114129.0,2016-11-13
432,Overboard,112.0,12000000.0,14711101.0,2018-5-6
433,Every Day,97.0,4900000.0,3016149.0,2018-2-25
434,"Everything, Everything",96.0,10000000.0,11727390.0,2017-5-21
435,Detroit,143.0,34000000.0,350190.0,2017-7-30
436,Café Society,96.0,30000000.0,359289.0,2016-7-17
437,Money Monster,98.0,27000000.0,14788157.0,2016-5-15
438,"Where'd You Go, Bernadette",109.0,20000000.0,3462308.0,2019-8-18
439,Welcome to Marwen,116.0,39000000.0,2354205.0,2018-12-23
440,Les frères Sisters,122.0,38000000.0,115575.0,2018-9-23
441,The Grinch,85.0,75000000.0,67572855.0,2018-11-11
442,Late Night,102.0,4000000.0,246305.0,2019-6-9
443,The Intruder,102.0,8000000.0,10855054.0,2019-5-5
444,Midnight Special,112.0,18000000.0,190012.0,2016-3-20
445,The Lego Ninjago Movie,101.0,70000000.0,20433071.0,2017-9-24
446,Snatched,90.0,42000000.0,19542248.0,2017-5-14
447,Shut In,91.0,10000000.0,3613567.0,2016-11-13
448,Kubo en het Magische Zwaard,101.0,60000000.0,12608372.0,2016-8-21
449,The Light Between Oceans,133.0,20000000.0,4765838.0,2016-9-4
450,Bleed for This,117.0,6000000.0,2366810.0,2016-11-20
451,The Nutcracker and the Four Realms,99.0,120000000.0,20352491.0,2018-11-4
452,Jexi,84.0,5000000.0,3106730.0,2019-10-13
453,20th Century Women,119.0,7000000.0,111200.0,2017-1-1
454,The Personal History of David Copperfield,119.0,15600000.0,475800.0,2020-8-30
455,Daddy's Home 2,100.0,69000000.0,29651193.0,2017-11-12
456,The First Purge,97.0,13000000.0,17374280.0,2018-7-8
457,Second Act,103.0,16000000.0,6489983.0,2018-12-23
458,Mother's Day,118.0,25000000.0,8369184.0,2016-5-1
459,Replicas,107.0,30000000.0,2375325.0,2019-1-13
460,Kapitein Onderbroek,89.0,38000000.0,23851539.0,2017-6-4
461,Johnny English Strikes Again,89.0,25000000.0,1638895.0,2018-10-28
462,All Eyez on Me,139.0,40000000.0,26435354.0,2017-6-18
463,Harriet,125.0,17000000.0,11676720.0,2019-11-3
464,Black and Blue,108.0,12000000.0,8376846.0,2019-10-27
465,Unfriended: Dark Web,92.0,1000000.0,3653035.0,2018-7-22
466,The House with a Clock in Its Walls,105.0,42000000.0,26608020.0,2018-9-23
467,Free State of Jones,139.0,50000000.0,7572206.0,2016-6-26
468,Office Christmas Party,105.0,45000000.0,16890204.0,2016-12-11
469,A Bad Moms Christmas,104.0,28000000.0,16759161.0,2017-11-5
470,Forever My Girl,108.0,3500000.0,4245630.0,2018-1-21
471,Collide,99.0,21500000.0,1512824.0,2017-2-26
472,The Happytime Murders,91.0,40000000.0,9532425.0,2018-8-26
473,Fifty Shades of Black,92.0,5000000.0,5900528.0,2016-1-31
474,The Forest,93.0,10000000.0,12741176.0,2016-1-10
475,Everest: De jonge Yeti,97.0,75000000.0,20612100.0,2019-9-29
476,Wonder Wheel,101.0,25000000.0,125570.0,2017-12-3
477,Isn't It Romantic,89.0,31000000.0,14247758.0,2019-2-17
478,Smurfs: The Lost Village,90.0,60000000.0,13210449.0,2017-4-9
479,Goosebumps 2: Haunted Halloween,90.0,35000000.0,15802225.0,2018-10-14
480,My Little Pony: The Movie,99.0,6500000.0,8885899.0,2017-10-8
481,Whiskey Tango Foxtrot,112.0,35000000.0,7450275.0,2016-3-6
482,Fist Fight,91.0,22000000.0,12201873.0,2017-2-19
483,What Men Want,117.0,20000000.0,18232087.0,2019-2-10
484,Rings,102.0,25000000.0,13002632.0,2017-2-5
485,Life of the Party,105.0,30000000.0,17886075.0,2018-5-13
486,Action Point,85.0,19000000.0,2390164.0,2018-6-3
487,Can You Ever Forgive Me?,106.0,10000000.0,161510.0,2018-10-21
488,Miss Bala,104.0,15000000.0,6864744.0,2019-2-3
489,The Case for Christ,112.0,5000000.0,3967885.0,2017-4-9
490,Storks,87.0,70000000.0,21311407.0,2016-9-25
491,Hell Fest,89.0,5500000.0,5130963.0,2018-9-30
492,The Hero,96.0,1200000.0,45317.0,2017-6-11
493,Sleepless,95.0,30000000.0,8344128.0,2017-1-15
494,Playing with Fire,96.0,29900000.0,12723781.0,2019-11-10
495,Gotti,112.0,10000000.0,1719902.0,2018-6-17
496,I Can Only Imagine,110.0,7000000.0,17108914.0,2018-3-18
497,Hands of Stone,111.0,20000000.0,1751388.0,2016-8-28
498,Risen,107.0,20000000.0,11801271.0,2016-2-21
499,Monster Trucks,104.0,125000000.0,10950705.0,2017-1-15
500,All I See Is You,109.0,30000000.0,144076.0,2017-10-29
501,Little,109.0,20000000.0,15405455.0,2019-4-14
502,Super Troopers 2,100.0,13500000.0,15181624.0,2018-4-22
503,The Kid,100.0,8000000.0,514286.0,2019-3-10
504,A Dog's Journey,109.0,16000000.0,8030085.0,2019-5-19
505,The Current War,108.0,30000000.0,2633717.0,2019-10-27
506,The Kitchen,102.0,38000000.0,5527410.0,2019-8-11
507,"Roman J. Israel, Esq.",122.0,22000000.0,61999.0,2017-11-19
508,Ride Along 2,102.0,40000000.0,35243095.0,2016-1-17
509,Loving,123.0,9000000.0,159615.0,2016-11-6
510,A Hologram for the King,98.0,30000000.0,1138578.0,2016-4-24
511,Suburbicon,105.0,25000000.0,2840246.0,2017-10-29
512,The Bye Bye Man,96.0,7400000.0,13501349.0,2017-1-15
513,Denial,109.0,10000000.0,93728.0,2016-10-2
514,Unforgettable,100.0,12000000.0,4785431.0,2017-4-23
515,Ben Is Back,103.0,13000000.0,80734.0,2018-12-9
516,Teen Titans Go! To the Movies,84.0,10000000.0,10411189.0,2018-7-29
517,The Ottoman Lieutenant,106.0,40000000.0,149830.0,2017-3-12
518,The Prodigy,92.0,6000000.0,5853061.0,2019-2-10
519,Thank You for Your Service,109.0,20000000.0,3817700.0,2017-10-29
520,Wish Upon,90.0,12000000.0,5467084.0,2017-7-16
521,Superfly,116.0,16000000.0,6870740.0,2018-6-17
522,Kidnap,95.0,21000000.0,10016323.0,2017-8-6
523,A Private War,110.0,18800000.0,60491.0,2018-11-4
524,Triple Threat,96.0,10000000.0,5936.0,2019-3-24
525,Missing Link,93.0,100000000.0,5944950.0,2019-4-14
526,The Catcher Was a Spy,94.0,14000000.0,114771.0,2018-6-24
527,UglyDolls,87.0,45000000.0,8603407.0,2019-5-5
528,A Dog's Way Home,96.0,18000000.0,11251263.0,2019-1-13
529,Stan & Ollie,98.0,10000000.0,78104.0,2018-12-30
530,Diary of a Wimpy Kid: The Long Haul,91.0,22000000.0,7126084.0,2017-5-21
531,Uncle Drew,103.0,19000000.0,15242781.0,2018-7-1
532,The Zookeeper's Wife,127.0,20000000.0,3288835.0,2017-4-2
533,A United Kingdom,111.0,14000000.0,66510.0,2017-2-12
534,Winchester,99.0,3500000.0,9307626.0,2018-2-4
535,Mr. Church,104.0,8000000.0,338551.0,2016-9-18
536,Table 19,87.0,5000000.0,1597928.0,2017-3-5
537,A-X-L,100.0,10000000.0,2798229.0,2018-8-26
538,Breakthrough,116.0,14000000.0,11282333.0,2019-4-21
539,Marshall,118.0,12000000.0,3000805.0,2017-10-15
540,Black Christmas,92.0,5000000.0,4240245.0,2019-12-15
541,The Sun Is Also a Star,100.0,9000000.0,2511530.0,2019-5-19
542,Kin,102.0,30000000.0,3035618.0,2018-9-2
543,Traffik,96.0,4000000.0,3941338.0,2018-4-22
544,Bad Santa 2,92.0,26000000.0,6176680.0,2016-11-27
545,Smallfoot,96.0,80000000.0,23045635.0,2018-9-30
546,Crown Vic,110.0,3600000.0,2468.0,2019-11-10
547,Meet the Blacks,94.0,900000.0,4055940.0,2016-4-3
548,How to Be a Latin Lover,115.0,10000000.0,12252439.0,2017-4-30
549,Term Life,93.0,16500000.0,13040.0,2016-5-1
550,Blinded by the Light,118.0,15000000.0,4333305.0,2019-8-18
551,Victoria & Abdul,111.0,21000000.0,158845.0,2017-9-24
552,Dog Days,113.0,10000000.0,2554766.0,2018-8-12
553,The Darkness,92.0,4000000.0,4950859.0,2016-5-15
554,Middle School: The Worst Years of My Life,92.0,8500000.0,6878437.0,2016-10-9
555,Max Steel,92.0,10000000.0,2182216.0,2016-10-16
556,Shock and Awe,90.0,16450000.0,45856.0,2018-7-15
557,Sherlock Gnomes,86.0,59000000.0,10604774.0,2018-3-25
558,The Comedian,120.0,15000000.0,10723.0,2016-12-11
559,The Ballad of Lefty Brown,111.0,8000000.0,5559.0,2017-12-17
560,Chappaquiddick,106.0,13000000.0,5765854.0,2018-4-8
561,Rules Don't Apply,127.0,25000000.0,1589625.0,2016-11-27
562,Acrimony,120.0,20000000.0,17170707.0,2018-4-1
563,Disney's Newsies: The Broadway Musical,149.0,2000000.0,1333538.0,2017-2-19
564,The Birth of a Nation,120.0,8500000.0,7004254.0,2016-10-9
565,Father Figures,113.0,25000000.0,3287451.0,2017-12-24
566,I'm Not Ashamed,112.0,1500000.0,927161.0,2016-10-23
567,Nobody's Fool,110.0,19000000.0,13743111.0,2018-11-4
568,Don't Let Go,103.0,5000000.0,2338669.0,2019-9-1
569,The Hollars,88.0,3800000.0,38210.0,2016-8-28
570,Kickboxer: Retaliation,110.0,10000000.0,3061.0,2018-1-28
571,Range 15,89.0,1000000.0,1044.0,2016-6-19
572,Boo! A Madea Halloween,103.0,20000000.0,28501448.0,2016-10-23
573,Bonjour Anne,92.0,5000000.0,98850.0,2017-5-14
574,Blaze,129.0,1200000.0,44050.0,2018-8-19
575,Early Man,89.0,50000000.0,3190525.0,2018-2-18
576,Incarnate,87.0,5000000.0,2534884.0,2016-12-4
577,Overcomer,119.0,5000000.0,8146533.0,2019-8-25
578,The Hurricane Heist,103.0,35000000.0,3024399.0,2018-3-11
579,Brian Banks,99.0,10000000.0,2156272.0,2019-8-11
580,A Madea Family Funeral,109.0,20000000.0,27062332.0,2019-3-3
581,Barbershop: A Fresh Cut,111.0,20000000.0,20242415.0,2016-4-17
582,"Paul, Apostle of Christ",108.0,5000000.0,5172585.0,2018-3-25
583,Poms,90.0,10000000.0,5361937.0,2019-5-12
584,Birth of the Dragon,95.0,31000000.0,2702430.0,2017-8-27
585,Just Getting Started,91.0,22000000.0,3201459.0,2017-12-10
586,Run the Race,101.0,2500000.0,2161480.0,2019-2-24
587,Greater,130.0,9000000.0,627974.0,2016-8-28
588,Wonder Park,85.0,90000000.0,15853646.0,2019-3-17
589,LBJ,98.0,26000000.0,1110565.0,2017-11-5
590,Unbroken: Path to Redemption,98.0,6000000.0,2238723.0,2018-9-16
591,The Disappointments Room,91.0,15000000.0,1402823.0,2016-9-11
592,Breaking In,88.0,6000000.0,17630285.0,2018-5-13
593,Show Dogs,92.0,5500000.0,6023972.0,2018-5-20
594,Queen of Katwe,124.0,15000000.0,304933.0,2016-9-25
595,Woodshock,100.0,5000000.0,12247.0,2017-9-24
596,Wild Oats,86.0,10000000.0,21554.0,2016-9-18
597,Ratchet & Clank,94.0,20000000.0,4869278.0,2016-5-1
598,Unplanned,109.0,6000000.0,6382298.0,2019-3-31
599,God's Not Dead 2,120.0,5000000.0,7623662.0,2016-4-3
600,Rock Dog,90.0,60000000.0,3704749.0,2017-2-26
601,The Star,86.0,20000000.0,9812674.0,2017-11-19
602,The Perfect Match,96.0,5000000.0,4294232.0,2016-3-13
603,Blind,98.0,2500000.0,12522.0,2017-7-16
604,Norm of the North,88.0,7000000.0,6844137.0,2016-1-17
605,The Vault,91.0,5000000.0,4308.0,2017-9-3
606,El Chicano,144.0,8000000.0,700261.0,2019-5-5
607,Same Kind of Different as Me,119.0,15000000.0,2591985.0,2017-10-22
608,Phoenix Forgotten,87.0,2800000.0,1816499.0,2017-4-23
609,Tyler Perry's Boo 2! A Madea Halloween,101.0,25000000.0,21226953.0,2017-10-22
610,Almost Christmas,111.0,17000000.0,15134235.0,2016-11-13
611,Proud Mary,89.0,14000000.0,9959053.0,2018-1-14
612,The Resurrection of Gavin Stone,91.0,2000000.0,1206771.0,2017-1-22
613,Best F(r)iends: Volume 1,108.0,1500000.0,131671.0,2018-4-1
614,The Young Messiah,111.0,18500000.0,3294876.0,2016-3-13
615,Robinson Crusoe,91.0,13000000.0,3342696.0,2016-9-11
616,Sleight,89.0,250000.0,1701785.0,2017-4-30
617,Little Men,85.0,2000000.0,30368.0,2016-8-7
618,Lowriders,98.0,5000000.0,2403885.0,2017-5-14
619,Let There Be Light,100.0,3000000.0,1729535.0,2017-10-29
620,Inside the Rain,90.0,1000000.0,8140.0,2020-3-15
621,Hacker,95.0,2000000.0,6716.0,2016-12-4
622,All Saints,108.0,2000000.0,1514278.0,2017-8-27
623,Indivisible,119.0,2700000.0,1503101.0,2018-10-28
624,The Assassin's Code,95.0,1800000.0,11218.0,2018-5-13
